gene	Apical progenitors	Astrocytes	CThPN	Cajal Retzius cells	Cycling glial cells	DL CPN	DL_CPN_1	DL_CPN_2	Doublet	Endothelial cells	Ependymocytes	Immature neurons	Intermediate progenitors	Interneurons	Layer 4	Layer 6b	Low quality cells	Microglia	Migrating neurons	NP	Oligodendrocytes	Pericytes	Red blood cells	SCPN	UL CPN	VLMC
Itga6																		1.0								
Axin2	1.0	1.0	0.0			0.0						0.0			0.0			0.0	0.0	0.0				0.0	0.0	
Cacng4			1.0			1.0	1.0		1.0				0.0		1.0	1.0			0.0	1.0	1.0		0.0	1.0	1.0	
Setd8	1.0	0.0							1.0				1.0		0.0					0.0				1.0	0.0	
Pex7		1.0				0.0					1.0	0.0			0.0					0.0				0.0	0.0	
Scfd2																							0.0			
Crem										1.0													0.0			
Slc39a11																							0.0			
Ankra2	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0			1.0	1.0	
Marf1		0.0	1.0			1.0	1.0	1.0	1.0		1.0	1.0	1.0		1.0					1.0				1.0	1.0	
Acss2																		0.0								
Usp6nl																	0.0	0.0					0.0			
Camsap2							1.0	1.0	1.0							1.0							0.0			
Serinc3							1.0	1.0		1.0	1.0					1.0		1.0				1.0	1.0			
H2-T22			0.0			0.0	0.0	0.0					0.0	0.0	0.0		0.0		0.0	0.0			0.0		0.0	
Qtrt1							1.0																			
Plxnb1																		0.0					0.0			
Fen1	1.0	0.0	0.0		1.0	0.0			1.0			0.0	1.0		0.0				0.0	0.0				0.0	0.0	
Zbtb10																	0.0						0.0			
Ankrd40																										
Zfp646																										
Polg																					1.0					
Galc																	0.0						0.0			
Fabp3	0.0		1.0			1.0	1.0	1.0	1.0				0.0		1.0	1.0				1.0			0.0	1.0	1.0	0.0
Rilpl1																							0.0			
Cmc2	1.0		0.0		1.0	0.0					1.0		1.0		0.0				0.0	0.0		1.0		0.0	0.0	
Trank1	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Me1							1.0									1.0							0.0			
Erbb2ip	1.0	1.0	0.0			0.0	0.0	0.0			1.0	0.0	1.0		0.0					0.0				0.0	0.0	
Appl2		1.0	0.0			0.0						0.0			0.0	0.0			0.0	0.0				0.0	0.0	
Gm2061	0.0			0.0		0.0				0.0		0.0	0.0	0.0				0.0		0.0	0.0	0.0			0.0	0.0
Rnf112	0.0	0.0	1.0		0.0					0.0	0.0		0.0					0.0	0.0	1.0			0.0			0.0
Gng4	0.0	0.0			0.0	1.0	1.0	1.0		0.0	0.0	0.0	0.0		1.0	1.0	0.0	0.0	0.0			0.0	0.0			0.0
Usp35	0.0	0.0	0.0			0.0				0.0	0.0	0.0	0.0	0.0	0.0		0.0			0.0	0.0		0.0		0.0	0.0
Lrfn4																		0.0					0.0			
Lasp1	0.0	1.0	1.0			1.0	1.0	1.0	1.0		1.0		0.0		1.0	1.0				1.0		1.0		1.0		
Sos2																	0.0						0.0			
Ezh2	1.0	1.0	1.0	1.0	1.0	1.0			1.0		1.0	1.0	1.0	1.0			1.0		1.0		1.0			1.0	1.0	1.0
Nek8	0.0		0.0			0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	
Polr3g		0.0	0.0	0.0		0.0		0.0				0.0	0.0	0.0	0.0		0.0		0.0	0.0				0.0	0.0	
Atxn1l	0.0	0.0				0.0						0.0	0.0		0.0		0.0		0.0	0.0				0.0		
Nucb2								1.0															0.0			
Dync2h1																		0.0								
Gltp	1.0	1.0	0.0			0.0		0.0		1.0					0.0			1.0		0.0	1.0	1.0		0.0	0.0	
Endog								1.0								1.0										
Lonp2							1.0																			
Jmjd7																							0.0			
Pcdhb20	0.0	0.0			0.0	1.0					0.0		0.0		1.0		0.0	0.0	0.0			0.0	0.0			0.0
Dnajc30	0.0		1.0	1.0		1.0	1.0	1.0	1.0						1.0	1.0				1.0				1.0	1.0	
Nsmf	0.0		1.0	1.0		1.0	1.0	1.0	1.0			1.0	0.0		1.0	1.0			1.0	1.0			0.0	1.0	1.0	
Rnf13	0.0	1.0	0.0		1.0	0.0	1.0					0.0	0.0		0.0			1.0	0.0	0.0	1.0	1.0		0.0	0.0	
Caskin2			0.0			0.0	0.0	0.0				0.0		0.0	0.0		0.0	0.0	0.0	0.0			0.0	0.0	0.0	
Ethe1		1.0	1.0			1.0	1.0	1.0				1.0			1.0				0.0	1.0	1.0		0.0	1.0	1.0	
Tcf12	1.0	1.0	0.0						1.0		1.0		1.0	1.0					1.0	0.0	1.0	1.0				
Nmd3									1.0																	
Pclo	0.0	0.0	1.0			1.0	1.0	1.0					0.0		1.0	1.0				1.0			0.0	1.0		0.0
Dok5	0.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	0.0		1.0	1.0				1.0			0.0	1.0	1.0	
Pde3b																	0.0	1.0					0.0			
Lmo2		0.0	0.0		0.0	0.0		0.0		1.0			0.0		0.0			1.0	0.0	0.0				0.0	0.0	
Ctnnal1										0.0								0.0								
Fam110a		0.0							1.0				1.0			1.0			1.0	1.0						
Celf4	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0	0.0	1.0	1.0	1.0			1.0	1.0	1.0		0.0	1.0	1.0	0.0
Nsun2	1.0			1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0								1.0	1.0	
Efcab11	1.0		0.0			0.0	0.0	0.0				0.0		0.0	0.0	0.0			0.0	0.0				0.0	0.0	
Slc24a3	0.0	0.0	0.0			1.0	1.0			0.0		0.0	0.0		1.0		0.0		0.0			0.0	0.0	0.0		0.0
Zfpm2	0.0	0.0	1.0			0.0	0.0	0.0		0.0			0.0		0.0		0.0	0.0	0.0	0.0		0.0	0.0		0.0	
Socs2		0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0	0.0	1.0		1.0			1.0	1.0				1.0	0.0	
Pdzrn3				0.0												0.0							0.0			
Plcl1	0.0		0.0			1.0						1.0			1.0				1.0			1.0	0.0		1.0	0.0
Zmynd19									1.0																	
Slc44a1																							0.0			
Mgll	0.0		1.0			0.0							0.0		0.0	1.0			0.0	0.0	1.0		0.0		0.0	0.0
Kcnh5	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm42517	0.0	0.0	0.0		0.0	0.0				0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0		0.0	0.0	0.0		0.0
Pcmtd2											1.0															
Spr	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0					1.0	1.0			0.0	1.0	1.0	1.0		1.0	1.0	
Fggy		0.0	0.0			0.0						0.0	0.0	0.0	0.0		0.0		0.0	0.0			0.0	0.0	0.0	
Sdccag8																							0.0			
Ifitm3	0.0	1.0	0.0	0.0		0.0	0.0			1.0	1.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	1.0	0.0	0.0	0.0	
Slc35c2																										
Zfx																										
1110019D14Rik		0.0	0.0			0.0	0.0				0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6330403A02Rik	0.0	0.0		0.0	0.0					0.0	0.0	0.0	0.0				0.0	0.0	0.0	1.0	0.0		0.0			0.0
Rara																	0.0						0.0			
Mns1	1.0		0.0		1.0	0.0	0.0					0.0			0.0	0.0			0.0	0.0				0.0	0.0	
Slc30a4																	0.0						0.0			
Ppp1r12a	0.0	1.0	0.0		1.0	0.0	1.0	1.0	1.0		1.0	0.0			0.0					0.0		1.0		0.0	0.0	
BC051226							1.0				0.0					1.0										0.0
Spata2																										
Ipo11																										
Rufy2							1.0																0.0			
Fam134b							1.0																0.0			0.0
Hipk2																										
Brip1		0.0	0.0	0.0		0.0	0.0				0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0				0.0	0.0	
Desi2		1.0			1.0	1.0	1.0	1.0	1.0						1.0	1.0			0.0	1.0	1.0	1.0		1.0		
Phc2																										
Zfp568		0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0		0.0	0.0	0.0	
Spry4	0.0		0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0			0.0	0.0	0.0	
Bcor											0.0															
Sptlc2							1.0									1.0										
Gss	0.0	0.0										0.0	0.0						0.0	0.0						
Cuedc1				1.0							1.0										1.0					
Fbxo2	0.0	1.0	0.0			0.0				0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0
Fat4																							0.0			
Med30		0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0		1.0	1.0	1.0				1.0	1.0			1.0	1.0	
Aldh3a2																							0.0			
3632451O06Rik										0.0												0.0	0.0			
Nek2	1.0		0.0			0.0						0.0	1.0		0.0	0.0			0.0	0.0				0.0	0.0	
Myo16	0.0	0.0				1.0	1.0	1.0					0.0		1.0		0.0	0.0	0.0			0.0	0.0			0.0
Hdac5	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0			1.0	1.0				1.0		
Calb1	0.0	0.0	0.0		0.0	0.0				0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	
1300002E11Rik							1.0																			
C1qtnf4	0.0		1.0	1.0		1.0		1.0	1.0			1.0	0.0		1.0	1.0			1.0	1.0				1.0	1.0	
Gne																							0.0			
Pskh1																	0.0						0.0			
Mboat1											0.0	0.0	0.0	0.0	1.0		0.0		0.0				0.0		0.0	
Slc35g2			0.0			0.0					0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0
Map1a							1.0	1.0								1.0							0.0			
Lrrc4c	0.0	0.0	1.0			1.0	1.0	1.0				0.0	0.0		1.0	1.0		0.0	0.0	1.0			0.0			0.0
Dap										1.0												1.0				
Ccdc189														0.0			0.0						0.0			
Msh5		0.0	0.0			0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc35f4	0.0	0.0								0.0	0.0		0.0		1.0			0.0	0.0	0.0			0.0			0.0
Nptn	0.0		1.0	1.0		1.0	1.0	1.0	1.0				0.0		1.0	1.0		1.0	0.0	1.0					1.0	
Mtss1	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0		1.0	1.0	
Rpgrip1											1.0															
A830011K09Rik	0.0	0.0	0.0	0.0	0.0	0.0				0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0
Phip	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0
Akap8l							1.0	1.0	1.0		1.0					1.0										
Pex3																										
Ttc39c																		0.0					0.0			
Adamts17	0.0	0.0	0.0		0.0	0.0	0.0	0.0			0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0
Evc2		0.0	0.0			0.0		0.0				0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	
Nr1d1	0.0	0.0				0.0					0.0	0.0	0.0	0.0	1.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0
Sobp	0.0	0.0	1.0			1.0	1.0	1.0	1.0				0.0		1.0	1.0				1.0			0.0	1.0	1.0	
Tmx3																										
Steap1			0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp20a1		1.0	0.0				1.0	1.0				0.0	0.0		1.0					0.0		1.0		0.0		
Sptan1	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0			1.0	1.0		1.0		1.0	1.0	
Taok3	0.0		1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0				1.0	1.0			1.0	1.0	
Nptx1	0.0	0.0	1.0		0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0
Hmbox1																										
Ccdc85a	0.0				0.0		1.0	1.0			0.0		0.0		1.0	1.0	0.0	0.0	0.0				0.0			
Camkv	0.0		1.0			1.0	1.0	1.0					0.0		1.0	1.0			0.0	1.0			0.0	1.0	1.0	0.0
Gm10146																										
Edem3																	0.0						0.0			
Dpcd		1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0			1.0	1.0				1.0		1.0		1.0	1.0	
Jade1																							0.0			
Cpq	0.0		0.0	0.0		0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0	
Fxyd7	0.0	0.0	1.0				1.0	1.0		0.0			0.0			1.0		0.0	0.0	1.0			0.0			0.0
Cep72	0.0		0.0					0.0			0.0		0.0							0.0		0.0	0.0	0.0		
Amigo1																	0.0						0.0			0.0
Blvrb										1.0								1.0				1.0	1.0			
Cryl1	0.0	0.0	0.0			0.0					0.0	0.0	0.0				0.0		0.0	0.0			0.0	0.0		
Nupl2																							0.0			
Pim2																	0.0						0.0			0.0
Sh3bp4																					1.0		0.0			
Traf3ip1																		0.0					0.0			
Lrrc49	0.0					1.0	1.0	1.0	1.0		1.0	1.0			1.0								0.0	1.0		
Scamp2																		1.0								
Lrrc51		0.0	0.0			0.0						0.0		0.0	0.0		0.0		0.0	0.0			0.0	0.0	0.0	0.0
Man2b1																	0.0	1.0					0.0			
Arsb		1.0	0.0			0.0						0.0	0.0				0.0	1.0	0.0			0.0	0.0	0.0		
Tpm2			0.0			0.0						0.0	0.0		0.0		0.0		0.0	0.0		1.0		0.0	0.0	1.0
Ogt		1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0			1.0	1.0	
Nacad							1.0																0.0			0.0
Pdia5			0.0			0.0						0.0	0.0	0.0	0.0		0.0		0.0	0.0			0.0	0.0	0.0	
Fam134c																										
Raph1		0.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0			1.0	1.0			1.0	1.0		1.0	0.0	1.0	1.0	
Pdzrn4	0.0						0.0	0.0		0.0	0.0	0.0	0.0				0.0			0.0			0.0	0.0	1.0	0.0
Exosc7	1.0		1.0		1.0	1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0				1.0	1.0			1.0	1.0	
Crebrf								0.0																		0.0
Nwd2	0.0	0.0	0.0			1.0	1.0	1.0		0.0	0.0		0.0		1.0				0.0			0.0	0.0			0.0
Sec23a		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0		1.0	1.0	1.0			1.0	1.0				1.0	1.0	
Celsr2		0.0	1.0	1.0		1.0	1.0	1.0	1.0				1.0		1.0	1.0			1.0	1.0		0.0	0.0	1.0		0.0
Zfp850	0.0	0.0	0.0			0.0		0.0			0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
Brinp3	0.0	0.0			0.0	0.0		1.0		0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0
Prmt6																										
Akap17b																	0.0						0.0			
Gpr150	0.0	0.0		0.0	0.0	0.0				0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0
Mcu																1.0							0.0			
Atxn7																										
Bet1	1.0	1.0	0.0		1.0	0.0			1.0		1.0	0.0			0.0				0.0	0.0				0.0	0.0	
Atp2a2		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0			1.0	1.0				1.0	1.0	1.0		1.0	1.0	
Paqr9	0.0	0.0	1.0			1.0				0.0	0.0	1.0	0.0			1.0			0.0	1.0			0.0	1.0	1.0	0.0
Prtn3																					0.0		0.0			0.0
Mvb12b	0.0		1.0			1.0	1.0	1.0	1.0			1.0			1.0	1.0			1.0	1.0				1.0	1.0	
Mocs3																							0.0			
Mtap																										
Gm10282							0.0	0.0			0.0															
Ring1											1.0															
Bub1b	1.0		0.0		1.0	0.0		0.0				0.0	1.0		0.0				0.0	0.0				0.0	0.0	
Msantd2																										
Dctn4							1.0	1.0	1.0																	
Pes1							1.0		1.0																	
Synrg																										
Snx16	0.0	0.0	1.0			1.0	1.0	1.0	1.0			1.0	0.0		1.0	1.0				1.0				1.0	1.0	
Rps6ka4	0.0	1.0	1.0			1.0					0.0		0.0	0.0	1.0		0.0		0.0				0.0	1.0	1.0	
1110032F04Rik	1.0	1.0	0.0					1.0			1.0	0.0	0.0					0.0	0.0				0.0			
Sccpdh		1.0	1.0	1.0		1.0	1.0	1.0	1.0						1.0	1.0				1.0	1.0			1.0	1.0	
Iqsec2	0.0		1.0			1.0							0.0		1.0		0.0		0.0				0.0	1.0		
Gba2							1.0	1.0								1.0							0.0			
Ttyh1	1.0	1.0	0.0		1.0	0.0	1.0	1.0	1.0		1.0	0.0			0.0				0.0		1.0			0.0	0.0	0.0
Mybl1		0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
Nfxl1																										
Ydjc	0.0	0.0		1.0		1.0	1.0	1.0			0.0		0.0		1.0	1.0							0.0	1.0	1.0	
Atg13							1.0																0.0			
Plk2	0.0		1.0			1.0	1.0	1.0	1.0	1.0		1.0		1.0	1.0	1.0				1.0	1.0		0.0	1.0	1.0	1.0
Ltbr		1.0	0.0	0.0		0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0	
Ipp																	0.0				0.0					0.0
Kazn	1.0	1.0	1.0			1.0						0.0	0.0		1.0				0.0				0.0	1.0	0.0	
Foxj1	0.0		0.0			0.0		0.0		0.0	1.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0
2810429I04Rik	1.0	0.0	0.0	0.0		0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0			0.0	0.0	0.0	0.0	0.0
Col9a3											0.0							0.0			1.0	0.0	0.0			0.0
Wdr66	0.0	0.0	0.0	0.0	0.0	0.0				0.0	1.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0
Nlgn2							1.0									1.0		0.0			1.0		0.0			
Grm1	0.0	0.0	1.0							0.0	0.0		0.0		0.0		0.0	0.0	0.0		0.0	0.0	0.0			0.0
Sdf4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0		1.0	1.0		1.0	1.0		1.0	1.0		1.0	1.0	
Neo1	0.0		0.0			1.0	1.0	1.0				1.0	0.0		1.0	1.0				0.0			0.0	1.0		
Rgl2											1.0															
Cav2		1.0					1.0	1.0			1.0	0.0	0.0	0.0	1.0		0.0		0.0	0.0			0.0	0.0		0.0
Zfp536	1.0		0.0			0.0	0.0	0.0				0.0	1.0		0.0	0.0				0.0		0.0	0.0	0.0	0.0	
Tex10																										
Aspm	1.0		0.0	0.0		0.0	0.0	0.0				0.0	1.0		0.0	0.0			0.0	0.0				0.0	0.0	
Gorab																										
Cdo1		1.0	1.0		1.0		1.0						0.0			1.0		0.0	0.0		1.0		0.0			
Chd6					1.0				1.0																	
Zdbf2																							0.0			
Klf10																										
Kdelr3			0.0	0.0		0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	
Cgref1		0.0				1.0	1.0	1.0					0.0		1.0	1.0		0.0	0.0	0.0		0.0	0.0			
Rassf3	0.0	0.0	0.0								0.0	0.0	0.0		1.0		0.0		0.0				0.0	0.0	0.0	
Far2	0.0	0.0			0.0		1.0				0.0	0.0	0.0		1.0		0.0	0.0	0.0			0.0	0.0	1.0		0.0
Rbm43			0.0									0.0	0.0				0.0		0.0	0.0			0.0	0.0	0.0	
Galnt1																										
Rcn1	1.0	1.0	0.0		1.0				1.0		1.0	0.0			0.0				0.0	0.0	1.0	1.0			0.0	1.0
Atg3		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0		1.0	1.0	
Inf2	0.0	0.0			0.0	0.0							0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0				0.0	
Atcay	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0				1.0			0.0	1.0	1.0	0.0
Gorasp2	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0				1.0	1.0	1.0		1.0	1.0	1.0
Nol11								1.0	1.0																	
Ccdc163	1.0		0.0			0.0	0.0	0.0				0.0			0.0					0.0				0.0	0.0	
Yars2																										
Luzp2	0.0	1.0													1.0			0.0			1.0		0.0		1.0	0.0
Gabpb1					1.0																					
Slc7a1										1.0													0.0			
C1galt1		0.0	0.0			0.0		0.0				0.0	0.0		0.0		0.0		0.0	0.0			0.0	0.0	0.0	
Agfg2																										
Sfxn2																							0.0			
Smn1	1.0		1.0		1.0	1.0	1.0		1.0		1.0	1.0	1.0		1.0				1.0	1.0				1.0	1.0	
Zhx3																		0.0					0.0			0.0
Pstk																										
Ube2q2																										
Nudcd3		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0			1.0	1.0	
Ago1	0.0	0.0	0.0			0.0			1.0		1.0	0.0	1.0		0.0					0.0				0.0	0.0	
Cep164																										
Pth1r				0.0										0.0			0.0					1.0	0.0			
Stat2											0.0						0.0						0.0			
Ctsf	0.0	1.0	1.0			1.0									1.0					1.0			0.0			
Commd10							1.0															1.0				
Tmem231																	0.0	0.0					0.0			
2410004B18Rik	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0		1.0	1.0	1.0			1.0	1.0	1.0			1.0	1.0	
Tfeb	0.0		0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0	
Cdca7l	1.0		0.0	0.0		0.0	0.0	0.0			0.0	0.0			0.0	0.0			0.0	0.0				0.0	0.0	
Dach1	1.0		0.0	1.0		0.0	0.0	0.0							0.0	0.0		0.0		0.0			0.0	0.0	0.0	
Fras1	1.0		0.0	0.0								0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0	0.0	
Taf6									1.0																	
Irs1																		0.0					0.0			
Lmo3			1.0			1.0	1.0	1.0					0.0		1.0	1.0			0.0	1.0			0.0	1.0		0.0
Amer1		0.0	1.0			1.0	1.0	1.0	1.0						1.0	1.0			1.0	1.0				1.0	1.0	
Gm26735	0.0	0.0	1.0			1.0							1.0						1.0	1.0			0.0	1.0		0.0
Ubl4a	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0		1.0	1.0				1.0	1.0	1.0	
Zfp365	0.0	0.0				1.0	1.0	1.0		0.0	0.0	0.0	0.0		1.0		0.0	0.0	0.0			0.0	0.0			
Ap3m2							1.0																0.0			
Trim23																										
Txndc16																							0.0			0.0
Dnaja4	0.0	1.0	1.0												1.0		0.0		0.0							
Gm21814		0.0	0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sgsm1																	0.0	0.0					0.0			
Tenm3							1.0	1.0														0.0	0.0			
Cdc16	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0			1.0		1.0	1.0		1.0	1.0	1.0
Gal3st3											0.0							0.0				0.0	0.0			0.0
Tm9sf2		1.0	0.0			0.0			1.0			0.0			0.0				0.0	0.0		1.0		0.0	0.0	
Sfrp5	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpbp1l1																										
Adcy8	0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfyve21		1.0	0.0		1.0	0.0									0.0				0.0	0.0				0.0	0.0	
Mlxip											0.0						0.0						0.0			
Kbtbd7																										
AI504432											0.0						0.0									0.0
Lrwd1																										
Rbm8a2																										
Tbc1d22b							1.0																0.0			
Mark4							1.0	1.0								1.0							0.0			
Efnb2		0.0	0.0			1.0	1.0		1.0			1.0			1.0				1.0	0.0			0.0		1.0	
4931406C07Rik								1.0																		
Zfp930											0.0			0.0			0.0	0.0				0.0	0.0			
Gramd1a	0.0		1.0	1.0		1.0	1.0	1.0	1.0			1.0		1.0	1.0	1.0			1.0	1.0				1.0	1.0	
Rrp7a	1.0		1.0			1.0	1.0	1.0	1.0		1.0	1.0			1.0	1.0				1.0				1.0	1.0	
Dpp8																										
Arhgef28	0.0	0.0	1.0		0.0		1.0				0.0	0.0	0.0		1.0		0.0	0.0	0.0			0.0	0.0			0.0
Hbegf	0.0	1.0				1.0	1.0	1.0		1.0			0.0		1.0				0.0				0.0		1.0	0.0
Gm26526								0.0			0.0						0.0									0.0
Taf8																										
Cyp4f13	0.0	1.0	0.0			0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0		0.0				0.0	0.0	0.0	0.0
Cep135		0.0	0.0			0.0		0.0				0.0		0.0	0.0		0.0		0.0	0.0			0.0	0.0	0.0	
Anxa5								1.0		1.0	1.0											1.0				1.0
Cmas	1.0		1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0		1.0	1.0	1.0	1.0	
Cldn34c1																										
Chchd3	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0		1.0	1.0			1.0		1.0	1.0			1.0	
Arel1																										
Cacnb3	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0	0.0	1.0	1.0	1.0			1.0	1.0			0.0	1.0	1.0	
Fam132a																										
Nyap1	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0				1.0			0.0	1.0	1.0	
Pacsin3		1.0	0.0	0.0		0.0					1.0	0.0			0.0				0.0	0.0				0.0	0.0	
Vps50		1.0	1.0			1.0	1.0		1.0			1.0	1.0		1.0	1.0			1.0	1.0				1.0	1.0	
Cdca3	1.0		0.0		1.0	0.0	0.0	0.0	1.0			0.0	1.0		0.0					0.0				0.0	0.0	
Slitrk1	0.0	0.0	1.0			1.0		1.0			0.0	1.0	0.0		1.0	1.0							0.0	1.0	1.0	0.0
Chkb	0.0	1.0	1.0			1.0	1.0		1.0			1.0			1.0	1.0			1.0	1.0				1.0	1.0	
Scrib																										
Tmem109											1.0											1.0				
Zbtb38	0.0		1.0			1.0	1.0	1.0	1.0						1.0	1.0				1.0			0.0		1.0	
Cdc14b		0.0	0.0			0.0	0.0	0.0			0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0				0.0	0.0	
Gcfc2											0.0															
